source;target;weight;description
A1.04B;stairs_left_conn;2;Verlasse Raum A1.04B und gehe 2 Schritte geradeaus und biege nach links ab.
stairs_left_conn;A1.04B;2;"Gehe 2 Schritte geradeaus zum Raum A1.04B. Dieser befindet sich auf der rechten Seite. "
A1.04B;stairs_left;2;Verlasse Raum A1.04B, biege nach links ab und gehe 2 Schritte geradeaus zu den Treppen.
stairs_left;A1.04B;2;"Nachdem du den 2.Stock mit der Treppe erreicht hast,  gehe 2 Schritte geradeaus zum Raum A1.04B. Dieser befindet sich auf der rechten Seite. "
stairs_left_conn;stairs_left;1;Gehe einen Schritt geradeaus, um die Treppen zu erreichen.
stairs_left;stairs_left_conn;1;Nachdem du den 2.Stock mit der Treppe erreicht hast, biege nach links ab und gehe einen Schritt geradeaus.
stairs_left_lift_conn;stairs_left_conn;4;Gehe 4 Schritte geradeaus.
stairs_left_conn;stairs_left_lift_conn;4;Gehe 4 Schritte geradeaus.
stairs_left_lift_conn;lift;6;Gehe 6 Schritte geradeaus und biege nach rechts ab, um den Lift zu erreichen.
lift;stairs_left_lift_conn;4;Verlasse den Lift, biege nach links ab und gehe 4 Schritte geradeaus.
stairs_left_lift_conn;door_middle;7;Gehe 7 Schritte geradeaus und biege nach rechts ab, um die Treppentür zu erreichen. Diese befindet sich links von dir.
door_middle;stairs_left_lift_conn;7;Nachdem du die Treppentür geöffnet hast, nehme die rechte Seite und gehe 47 Schritte geradeaus.
stairs_left_lift_conn;A2_F1_conn;2;"Gehe 2 Schritte geradeaus, um die Tür in den Gang zu erreichen, der in das F-Gebäude führt. Diese befindet sich rechts von dir. "
A2_F1_conn;stairs_left_lift_conn;2;Nachdem du den Gang verlassen und das A-Gebäude erreicht hast, öffne die Tür, biege nach links ab und mache 2 Schritte geradeaus.
lift;door_middle;2;"Verlasse den Lift und mache 2 Schritte geradeaus, um die Treppentür zu erreichen. "
door_middle;lift;2;Nachdem du die Treppentür geöffnet hast, gehe 2 Schritte, um den Lift zu erreichen.
lift;stairs_A3_left;3;"Verlasse den Lift, biege nach rechts ab, gehe 3 Schritte geradeaus, um die Treppen zu erreichen. Diese befinden sich rechts von dir. "
stairs_A3_left;lift;3;"Nachdem du mit den Treppen den 2.Stock erreicht hast, gehe 3 Schritte, um den Lift zu erreichen. Dieser befindet sich links von dir. "
lift;stairs_A3_left_conn;6;"Verlasse den Lift und biege nach rechts ab. Mache 4 Schritte geradeaus, biehe nochmals nach rechts an und gehe 2 weitere Schritte nach vorne. "
stairs_A3_left_conn;lift;6;Biege nach rechts ab und mache 4 weitere Schritte nach vorne. Biege danach nach links ab und gehe geradeaus, bis du den Lift erreicht hast. Dieser befindet sich links von dir.
A2_F1_conn;stairs_A3_left_conn;2;Nachdem du den Gang verlassen und das A-Gebäude erreicht hast, biege nach rechts ab und gehe 2 Schritte geradeaus.
stairs_A3_left_conn;A2_F1_conn;2;"Gehe 2 Schritte geradeaus, um den Gang zu erreichen, der in das F-Gebäude führt. Dieser bedindet sich links von dir. "
stairs_middle;door_middle;2;"Gehe von den Treppen 2 Schritte geradeaus zu den Treppentüren. "
door_middle;stairs_middle;2;"Öffne die Treppentür und gehe 2 Schritte geradeaus, um die Treppen zu erreichen. "
door_middle;stairs_A3_left_conn;3;"Nachdem du die Treppentür verlassen hast, nehme die linke Seite und gehe 3 Schritte geradeaus. "
stairs_A3_left_conn;door_middle;3;Biege nach rechts ab und gehe 3 Schritte geradeaus. Die Treppentür befindet sich links von dir.
stairs_A3_left;stairs_A3_left_conn;1;Nachdem du mit den Treppen den 2.Stock erreicht hast, biege nach links ab und gehe 1 Schritt geradeaus.
stairs_A3_left_conn;stairs_A3_left;1;Biege nach links ab, um mit den Treppen auf den 1.Stock zu gelangen.
A2_F1_conn;A2_F1;2;Öffne die Gangtür, die in das F-Gebäude führt.
A2_F1;A2_F1_conn;2;Verlasse den Korridor und öffne die Gangtür, um in das A-Gebäude zu gelangen.
